title,category,tempo_bpm,f0_mean_hz,cardiac_chd_ptsd,cardiac_lqts,cardiac_hcm,cardiac_heart_failure,cardiac_af_arrhythmia,cardiac_post_cardiac_surgery,safe_chd_ptsd,safe_lqts,safe_hcm,safe_heart_failure,safe_af_arrhythmia,safe_post_cardiac_surgery
Maa Baglamukhi Mantra,Shakta Tantric,129.2,86.56,3.446,3.224,2.879,5.051,2.602,4.564,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Niggun Chabad,Jewish,66.3,147.52,5.641,5.0,5.414,5.258,5.379,5.596,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Kaddish Prayer,Jewish,143.6,130.47,2.349,2.067,1.777,1.606,1.459,1.739,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Chandi Path,Shakta Tantric,152.0,122.9,1.689,1.359,1.102,1.292,0.79,1.339,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Om Hreem Kleem Tripura Mantra,Shakta Tantric,117.5,192.7,3.611,3.178,3.013,4.322,2.636,4.145,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Namo Amituofo,Buddhist,92.3,137.04,5.246,5.0,4.984,5.747,4.821,5.869,SAFE,AVOID,SAFE,SAFE,AVOID,SAFE
Om Mani Padme Hum,Buddhist,107.7,106.71,4.942,4.769,4.395,5.335,4.099,5.158,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Subhanallah Dhikr,Islamic,112.3,105.67,4.371,4.09,3.793,4.774,3.497,4.605,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Al-Fatiha Recitation,Islamic,117.5,200.92,3.989,3.704,3.435,3.981,3.05,3.972,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Kyrie Eleison Byzantine,Christian,136.0,130.16,2.908,2.654,2.344,3.025,2.026,2.94,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Ave Maria Rosary,Christian,92.3,246.3,5.211,5.0,4.979,6.096,4.714,6.188,SAFE,AVOID,SAFE,SAFE,AVOID,SAFE
Shema Yisrael,Jewish,143.6,130.47,2.349,2.067,1.777,1.498,1.459,1.658,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Gregorian Kyrie,Christian,136.0,79.97,3.171,3.011,2.621,2.598,2.35,2.644,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Japji Sahib,Sikhism,198.77,168.3,0.0,0.0,0.0,0.0,0.0,0.0,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Mool Mantar 108,Sikhism,76.0,185.53,5.854,5.0,5.667,6.379,5.5,6.501,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Kirtan Asa Di Var,Sikhism,117.45,217.51,3.614,3.185,3.024,2.884,2.624,3.082,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Qawwali Ya Ali Madad,Sufism,78.3,239.28,4.966,5.0,4.698,4.264,4.578,4.761,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Zikr Allah Hu,Sufism,107.67,92.85,5.116,5.0,4.584,6.02,4.301,5.699,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Sufi Whirling Chant Mevlevi,Sufism,86.13,220.64,5.61,5.0,5.411,4.751,5.309,5.248,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Gathas Ahunavaiti,Zoroastrian,57.42,120.3,6.304,5.0,6.0,5.114,5.5,5.611,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Yasna Ha 28,Zoroastrian,57.42,120.3,6.304,5.0,6.0,5.114,5.5,5.611,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Ashem Vohu 108,Zoroastrian,56.17,120.3,6.318,5.0,6.0,6.626,5.5,6.749,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Jesus Prayer Hesychast,Greek Orthodox,117.45,128.12,4.422,4.292,3.893,6.087,3.577,5.6,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Trisagion Byzantine,Greek Orthodox,73.83,160.11,5.97,5.0,5.787,5.178,5.5,5.61,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Akathist Hymn Theotokos,Greek Orthodox,103.36,260.83,4.858,4.569,4.319,4.173,3.879,4.371,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Om Ma Tri Mu Ye Sa Le Du,Tibetan Bon,73.83,146.1,5.795,5.0,5.588,6.238,5.5,6.361,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Bon Tantric Drum Chant,Tibetan Bon,49.69,90.13,6.5,5.0,5.842,4.712,5.5,5.209,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Sang Offering Chant,Tibetan Bon,80.75,107.25,5.74,5.0,5.519,4.598,5.5,5.095,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
