title,category,pancha_total,shrotra_score,ghrana_score,chakshu_score,tvak_score,jihva_score,audio_only,multimodal_gain
Om Namah Shivaya Tabla Kirtan,Bhajan,57.72,23.72,3.0,16.0,10.0,5.0,23.72,34.0
Carnatic Bhajan Tiruppugazh Mridangam,Tamil Stotram,36.4,20.0,3.0,9.0,2.4,2.0,20.0,16.4
Aarti Jai Jagdish with Full Orchestra,Bhajan,41.64,15.24,3.0,16.0,2.4,5.0,15.24,26.4
Shiva Puja Abhisheka Damroo Chant,Stotram,40.84,22.04,3.0,9.0,4.8,2.0,22.04,18.8
Nyahbinghi Groundation Chant,Rastafari,26.44,10.04,3.0,9.0,2.4,2.0,10.04,16.4
Rastafari Psalm Chant Ises,Rastafari,39.0,22.6,3.0,9.0,2.4,2.0,22.6,16.4
Rastafari Reasoning Circle Chant,Rastafari,45.0,21.6,3.0,16.0,2.4,2.0,21.6,23.4
Lalita Sahasranamam,Stotram,29.04,12.64,3.0,9.0,2.4,2.0,12.64,16.4
Argala Stotram,Stotram,52.56,33.76,3.0,9.0,4.8,2.0,33.76,18.8
Nirvana Shatakam,Stotram,53.24,34.44,3.0,9.0,4.8,2.0,34.44,18.8
Soundarya Lahari,Stotram,40.92,24.52,3.0,9.0,2.4,2.0,24.52,16.4
Achyutashtakam,Stotram,40.92,24.52,3.0,9.0,2.4,2.0,24.52,16.4
Govind Bolo Hari Gopal Bolo,Bhajan,53.84,19.84,3.0,16.0,10.0,5.0,19.84,34.0
Shree Ram Jai Ram Kirtan,Bhajan,53.96,19.96,3.0,16.0,10.0,5.0,19.96,34.0
Hey Nath Tere Kitne Nam,Bhajan,50.92,24.52,3.0,16.0,2.4,5.0,24.52,26.4
Jai Ho Ganesh Deva,Bhajan,39.24,12.84,3.0,16.0,2.4,5.0,12.84,26.4
Meenakshi Pancharatnam,Tamil Stotram,40.92,24.52,3.0,9.0,2.4,2.0,24.52,16.4
Kavadi Chindu Murugan,Tamil Stotram,37.04,20.64,3.0,9.0,2.4,2.0,20.64,16.4
Sivan Vandana Tamil,Tamil Stotram,46.68,30.28,3.0,9.0,2.4,2.0,30.28,16.4
Bhu Suktam,Vedic,61.24,34.44,3.0,14.0,4.8,5.0,34.44,26.8
Rudra Suktam,Vedic,61.4,34.6,3.0,14.0,4.8,5.0,34.6,26.8
Pali Metta Sutta,Buddhist,36.8,18.4,3.0,9.0,2.4,4.0,18.4,18.4
Surah Ar Rahman Recitation,Islamic,40.92,24.52,3.0,9.0,2.4,2.0,24.52,16.4
Yoruba Orisha Praise Song,African Traditional,36.72,20.32,3.0,9.0,2.4,2.0,20.32,16.4
Yatha Ahu Vairyo Prayer,Zoroastrian,48.64,27.44,3.0,9.0,7.2,2.0,27.44,21.2
Polyeleos Psalm 134 Byzantine,Greek Orthodox,49.32,25.92,3.0,16.0,2.4,2.0,25.92,23.4
Zhang Zhung Mantra A,Tibetan Bon,64.0,40.0,3.0,9.0,10.0,2.0,40.0,24.0
Heart Sutra Chinese Chanting,Taoist,40.4,19.6,3.0,9.0,4.8,4.0,19.6,20.8
Sukhmani Sahib Paath,Sikhism,44.32,27.92,3.0,9.0,2.4,2.0,27.92,16.4
Rumi Ney Chant Beshno,Sufism,40.92,24.52,3.0,9.0,2.4,2.0,24.52,16.4
Hopi Rain Song,Native American,39.24,22.84,3.0,9.0,2.4,2.0,22.84,16.4
Rastafari Groundation Psalm,Rastafari,45.72,22.32,3.0,16.0,2.4,2.0,22.32,23.4
Mi-kagura Shinto Court Music,Shinto,46.48,30.08,3.0,9.0,2.4,2.0,30.08,16.4
