title,duration_sec,f0_mean_hz,f0_median_hz,f0_std_hz,spectral_centroid_hz,spectral_rolloff_hz,tempo_bpm,zcr_mean,rms_mean,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,source,mfcc_means,neuroacoustic_score,is_synthetic,category
Rastafari Reasoning Circle Chant,120.0,200.02,200.0,0.14,947.14,1213.6,152.0,0.018466,0.251046,,,,,,,,,,,,,,json_cache,"[-314.9846, 81.0516, 49.4864, 11.4954, -13.1847, -18.6418, -10.9996, -2.6105, -1.7827, -8.2475, -15.2325, -17.0306, -13.2497]",54.0,True,Rastafari
Lalita Sahasranamam,120.0,320.04,336.36,56.77,2404.09,4244.05,136.0,0.149292,0.108354,,,,,,,,,,,,,,json_cache,"[-197.3066, 67.56, -56.4921, 11.4729, -18.1356, -10.4173, -8.5794, -7.9782, -7.943, 9.7862, -5.7367, -2.3523, -6.2853]",31.6,False,Stotram
Argala Stotram,120.0,130.39,130.44,0.19,671.01,484.08,61.52,0.011924,0.268303,,,,,,,,,,,,,,json_cache,"[-335.1004, 90.7005, 76.2746, 51.2407, 24.0177, 0.2302, -15.5757, -22.1136, -20.6094, -14.3024, -7.0478, -2.1179, -0.9399]",84.4,True,Stotram
Nirvana Shatakam,120.0,130.39,130.44,0.19,671.59,484.27,64.6,0.011917,0.268389,,,,,,,,,,,,,,json_cache,"[-335.0466, 90.6564, 76.3464, 51.2748, 24.0055, 0.302, -15.482, -22.1563, -20.6652, -14.3226, -7.0028, -2.0158, -0.841]",86.1,True,Stotram
Soundarya Lahari,120.0,210.56,210.67,0.35,795.84,755.75,83.35,0.019065,0.268006,,,,,,,,,,,,,,json_cache,"[-333.1872, 84.5605, 50.2543, 10.9338, -12.4981, -15.8815, -8.6426, -3.9138, -7.2715, -14.445, -17.6085, -13.8732, -8.1842]",61.3,True,Stotram
Achyutashtakam,120.0,210.56,210.67,0.35,795.79,755.82,83.35,0.019064,0.26821,,,,,,,,,,,,,,json_cache,"[-333.0786, 84.5284, 50.1941, 10.9271, -12.5543, -15.8162, -8.5303, -3.9195, -7.3527, -14.4338, -17.6411, -13.8989, -8.264]",61.3,True,Stotram
Govind Bolo Hari Gopal Bolo,120.0,84.97,68.7,58.33,2168.54,4618.29,172.27,0.100653,0.101345,,,,,,,,,,,,,,json_cache,"[-125.7495, 91.4586, -7.1396, 31.7475, -7.0945, 11.0998, -0.2605, 11.7102, -11.5192, 5.4497, 7.2942, 2.7584, 2.8624]",49.6,False,Bhajan
Shree Ram Jai Ram Kirtan,120.0,206.41,168.67,127.6,2119.82,4210.78,161.5,0.110086,0.211822,,,,,,,,,,,,,,json_cache,"[-69.2532, 95.9947, -22.5711, 19.6131, -2.3074, 2.8315, -9.2387, 4.6858, -17.5501, 8.2326, 0.4108, 2.524, 0.8053]",49.9,False,Bhajan
Hey Nath Tere Kitne Nam,120.0,210.56,210.67,0.35,795.45,755.5,83.35,0.019061,0.268281,,,,,,,,,,,,,,json_cache,"[-333.1046, 84.6331, 50.2059, 10.8767, -12.514, -15.8568, -8.5646, -3.8796, -7.3346, -14.542, -17.6146, -13.8533, -8.127]",61.3,True,Bhajan
Jai Ho Ganesh Deva,120.0,291.66,228.42,172.77,2333.58,4931.57,123.05,0.105626,0.16059,,,,,,,,,,,,,,json_cache,"[-89.4977, 86.6843, -9.3694, 14.801, -3.7881, 2.4168, -10.1319, 0.9526, -2.4684, 4.591, -3.0072, 2.1582, -4.8521]",32.1,False,Bhajan
Meenakshi Pancharatnam,120.0,210.56,210.67,0.35,795.85,755.51,83.35,0.019065,0.268597,,,,,,,,,,,,,,json_cache,"[-332.946, 84.5807, 50.2932, 10.982, -12.4844, -15.8834, -8.6598, -3.8284, -7.2669, -14.4193, -17.6133, -13.9761, -8.2077]",61.3,True,Tamil Stotram
Kavadi Chindu Murugan,120.0,175.12,175.12,0.01,735.47,633.72,117.45,0.015897,0.269893,,,,,,,,,,,,,,json_cache,"[-329.8248, 92.7155, 65.5853, 28.3831, -2.157, -17.8941, -18.4316, -11.0839, -4.6688, -4.6033, -10.7102, -18.0974, -21.4611]",51.6,True,Tamil Stotram
Sivan Vandana Tamil,120.0,130.38,130.44,0.19,671.29,484.24,63.02,0.011923,0.26812,,,,,,,,,,,,,,json_cache,"[-335.0699, 90.7078, 76.2133, 51.1527, 24.0193, 0.3243, -15.4884, -22.1628, -20.7183, -14.4091, -6.9989, -2.025, -0.9238]",75.7,True,Tamil Stotram
Bhu Suktam,120.0,130.39,130.44,0.19,671.35,484.33,64.6,0.01193,0.268209,,,,,,,,,,,,,,json_cache,"[-335.166, 90.6776, 76.3773, 51.2455, 23.9682, 0.2218, -15.4781, -22.0006, -20.7299, -14.4611, -7.0548, -1.9989, -0.9323]",86.1,True,Vedic
Rudra Suktam,120.0,130.38,130.44,0.19,671.43,484.06,63.02,0.011937,0.26755,,,,,,,,,,,,,,json_cache,"[-335.3858, 90.6855, 76.3749, 51.2059, 23.9678, 0.289, -15.5766, -22.0276, -20.57, -14.3297, -7.1354, -2.1056, -0.8934]",86.5,True,Vedic
Pali Metta Sutta,120.0,162.75,165.29,23.38,1564.97,3107.03,152.0,0.064933,0.070778,,,,,,,,,,,,,,json_cache,"[-319.5081, 105.3151, -14.7318, 33.6762, 8.7723, -12.1183, 9.2427, -9.3237, -10.9509, -5.2105, -10.5792, 0.2119, -5.6962]",46.0,False,Buddhist
Surah Ar Rahman Recitation,120.0,210.56,210.67,0.35,795.49,755.9,83.35,0.01907,0.268481,,,,,,,,,,,,,,json_cache,"[-332.9934, 84.5967, 50.1289, 10.8657, -12.5368, -15.8262, -8.4961, -3.8912, -7.2808, -14.4661, -17.6219, -13.8894, -8.1969]",61.3,True,Islamic
Yoruba Orisha Praise Song,120.0,189.91,189.87,0.2,757.69,684.96,143.55,0.017259,0.270659,,,,,,,,,,,,,,json_cache,"[-329.1366, 91.2816, 58.7647, 18.1203, -10.9654, -20.6485, -14.8199, -5.2959, -1.7849, -6.9978, -16.0211, -21.395, -19.3515]",50.8,True,African Traditional
Yatha Ahu Vairyo Prayer,120.0,105.81,81.7,44.71,1030.87,1824.55,107.67,0.031956,0.185702,,,,,,,,,,,,,,json_cache,"[-202.2999, 141.2926, 43.6745, 38.8302, 6.781, 8.7171, 1.8036, 17.0031, -0.0805, -11.9146, 1.9665, 2.9781, -0.9837]",68.6,False,Zoroastrian
Polyeleos Psalm 134 Byzantine,120.0,155.11,155.11,0.0,702.96,564.63,71.78,0.014129,0.268233,,,,,,,,,,,,,,json_cache,"[-329.4653, 95.8057, 74.0733, 41.2255, 9.9395, -11.7158, -20.0865, -17.574, -9.5505, -2.4622, -0.4071, -4.1351, -10.9978]",64.8,True,Greek Orthodox
Zhang Zhung Mantra A,120.0,95.05,94.93,0.22,606.83,352.75,52.73,0.008928,0.267777,,,,,,,,,,,,,,json_cache,"[-337.1378, 91.2278, 85.3577, 71.2708, 53.4736, 34.1238, 16.0519, 0.8125, -10.3631, -16.953, -19.1136, -17.5589, -13.3866]",100.0,True,Tibetan Bon
Heart Sutra Chinese Chanting,120.0,113.23,117.55,37.35,1783.41,3473.5,99.38,0.098966,0.097027,,,,,,,,,,,,,,json_cache,"[-152.0914, 121.5144, -16.8787, 24.9371, -19.4913, -16.5104, 10.5765, -11.7038, -23.2258, 11.0141, -12.4983, -0.6111, 0.7019]",49.0,False,Taoist
Sukhmani Sahib Paath,120.0,180.25,180.25,0.0,745.6,652.53,76.0,0.016355,0.268022,,,,,,,,,,,,,,json_cache,"[-329.0802, 93.1247, 63.8378, 25.1921, -5.3025, -19.3011, -17.6897, -9.4278, -3.7033, -5.3981, -12.5634, -19.6172, -21.067]",69.8,True,Sikhism
Rumi Ney Chant Beshno,120.0,210.56,210.67,0.35,795.86,755.92,83.35,0.019073,0.268685,,,,,,,,,,,,,,json_cache,"[-332.9155, 84.5886, 50.2706, 10.998, -12.4813, -15.9102, -8.5556, -3.7956, -7.2305, -14.4806, -17.5596, -13.9165, -8.1127]",61.3,True,Sufism
Hopi Rain Song,120.0,175.12,175.12,0.01,735.12,633.72,117.45,0.015897,0.269449,,,,,,,,,,,,,,json_cache,"[-329.9242, 92.7716, 65.5487, 28.4342, -2.2049, -17.8549, -18.4399, -11.0865, -4.6152, -4.6307, -10.6697, -18.1087, -21.378]",57.1,True,Native American
Rastafari Groundation Psalm,120.0,189.91,189.87,0.2,757.55,684.8,143.55,0.017264,0.27103,,,,,,,,,,,,,,json_cache,"[-328.9924, 91.3697, 58.7475, 17.976, -11.0135, -20.6285, -14.8239, -5.221, -1.7616, -7.0256, -15.9533, -21.4006, -19.3936]",55.8,True,Rastafari
Mi-kagura Shinto Court Music,120.0,95.05,94.93,0.22,607.22,353.11,52.73,0.008897,0.268026,,,,,,,,,,,,,,json_cache,"[-337.0959, 91.1393, 85.4467, 71.3092, 53.4647, 34.197, 16.0931, 0.7483, -10.4796, -17.0473, -19.0423, -17.537, -13.29]",75.2,False,Shinto
