title,duration_sec,f0_mean_hz,f0_median_hz,f0_std_hz,spectral_centroid_hz,spectral_rolloff_hz,tempo_bpm,zcr_mean,rms_mean,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,source,mfcc_means,neuroacoustic_score,is_synthetic,category
Mahamrityunjaya Mantra,120.0,104.87,78.01,70.58,1402.85,2854.26,123.0,0.051573,0.224027,-139.8993,118.2158,9.7956,39.4155,14.425,-2.2082,1.5526,11.0335,-20.1298,5.0472,-3.2307,-2.744,-1.4756,json_cache,,66.9,False,Vedic
Purusha Suktam,120.0,88.28,78.46,26.23,1717.97,3428.37,172.3,0.090156,0.145948,-103.5476,135.275,-35.4213,33.2717,3.6037,-14.7601,11.0138,-7.0511,-11.029,21.919,4.4561,4.5348,-1.2208,json_cache,,33.4,False,Vedic
Sri Suktam,120.0,177.98,195.43,86.4,1917.68,3318.25,152.0,0.110388,0.085083,-255.6945,75.7501,-49.3322,22.7953,-10.8674,-11.7881,-4.1537,-8.5765,-11.8813,-5.2846,-1.1351,0.0654,-6.4766,json_cache,,52.5,False,Vedic
Narayana Suktam,120.0,160.1,174.11,31.17,1751.42,3174.79,161.5,0.098507,0.134642,-203.1072,110.4073,-35.5413,11.46,-11.8846,-26.4364,-2.6215,-21.0684,-21.7272,-4.1031,-10.4539,-5.4798,-5.9338,json_cache,,40.7,False,Vedic
Durga Suktam,120.0,160.77,164.34,51.72,2395.02,4373.02,129.2,0.136951,0.20053,-63.0059,82.3956,-26.8563,35.8392,2.5704,-3.8778,4.5621,-2.2377,-1.1644,3.4299,12.0837,3.9782,-1.3211,json_cache,,45.0,False,Vedic
Shri Rudram Chamakam,120.0,176.81,178.18,8.39,1853.02,3239.6,95.7,0.124915,0.050173,-242.8319,143.1993,-109.3173,41.5907,-25.548,-22.5879,1.8337,-28.5393,7.2124,-9.1532,3.6852,4.5271,-19.6063,json_cache,,44.4,False,Vedic
Kanda Sashti Kavasam,120.0,250.76,233.76,92.15,1972.08,3889.34,117.5,0.088007,0.050976,-257.9864,93.9645,-24.0826,28.7066,0.1593,-12.5705,-4.0454,-8.7617,-6.6482,-1.0537,-13.73,5.8159,-7.5443,json_cache,,26.8,False,Tamil Stotram
Thiruppavai,120.0,281.21,265.43,133.2,2022.18,3412.7,152.0,0.133248,0.19612,-98.6208,93.7475,-71.7084,12.6983,-18.5023,-16.4839,-9.5268,-9.2027,-12.1571,-7.6364,-8.9491,-4.6736,-13.4579,json_cache,,50.5,False,Tamil Stotram
Thiruvempavai,120.0,301.04,291.13,70.19,2369.79,3865.89,161.5,0.162543,0.185392,-85.9157,74.6579,-66.0337,38.0661,-8.1666,-11.8707,-5.5106,-11.6823,-19.371,5.8716,-8.9821,-3.7006,-10.6138,json_cache,,46.0,False,Tamil Stotram
Vinayagar Agaval,120.0,246.52,247.66,118.68,1399.19,2393.82,117.5,0.073878,0.136804,-181.971,137.1602,-37.7973,6.2404,0.363,-6.0723,-17.2556,-14.6472,-13.9471,-7.5695,-9.0931,-7.7625,-10.006,json_cache,,42.9,False,Tamil Stotram
Abhirami Andhadhi,120.0,368.05,317.48,161.79,2289.34,3793.47,86.1,0.153581,0.11944,-198.5761,58.5405,-90.1597,19.5827,-11.9304,-16.5711,-19.6636,-0.7864,-25.5247,7.4444,-17.0164,3.3773,0.9334,json_cache,,59.4,False,Tamil Stotram
Siva Puranam,120.0,126.55,136.6,32.22,2051.37,4257.94,172.3,0.083166,0.141267,-141.6551,96.9459,-12.2111,31.918,33.0522,7.3439,-0.5822,-5.9554,-9.5387,-1.6608,-6.2843,7.8425,-9.0325,json_cache,,33.8,False,Tamil Stotram
Muthu Kumara Swami,120.0,422.21,381.94,203.23,2587.78,4695.05,172.3,0.157279,0.140249,-97.0089,66.1734,-38.9657,34.9588,-2.9284,9.3043,-6.4275,0.7734,-5.3706,5.6547,-0.3831,-0.0158,-11.5566,json_cache,,30.5,False,Tamil Stotram
Aditya Hridayam Tamil,120.0,141.12,147.26,19.91,1946.55,3705.94,152.0,0.092511,0.220522,-121.2014,108.4781,-8.2148,10.7599,-18.9346,-0.9021,-13.3979,-4.6189,-11.2175,-6.6961,-7.6296,5.147,-3.7312,json_cache,,39.5,False,Tamil Stotram
Maa Baglamukhi Mantra,120.0,86.56,77.56,33.24,1355.56,2795.96,129.2,0.052082,0.055432,-274.15,127.9684,13.9049,35.5,4.8362,6.8971,5.5172,21.3854,1.1639,3.4531,4.2915,2.8409,-2.201,json_cache,,69.0,False,Shakta Tantric
Niggun Chabad,120.0,147.52,109.68,112.33,1944.42,4345.55,66.3,0.065333,0.094715,-190.2121,102.4015,11.6313,9.62,0.4418,1.1975,-9.4885,-9.3645,-6.4984,-6.5649,-4.2453,-6.1325,-6.2219,json_cache,,53.2,False,Jewish
Kaddish Prayer,120.0,130.47,129.68,66.95,1492.56,3254.89,143.6,0.045567,0.060179,-282.9617,109.9109,15.2996,30.5217,-0.7948,6.1355,1.9211,3.0703,-6.4635,4.1772,-6.3713,-3.2875,-8.5193,json_cache,,41.2,False,Jewish
Chandi Path,120.0,122.9,130.44,21.69,1644.14,3285.75,152.0,0.054355,0.04894,-331.9792,106.7877,13.4444,18.8966,10.8114,-2.6972,-12.4875,-1.742,-22.1667,1.4007,-12.6631,-0.3482,-12.4278,json_cache,,51.0,False,Shakta Tantric
Om Hreem Kleem Tripura Mantra,120.0,192.7,194.31,7.62,1740.82,3126.05,117.5,0.093729,0.119032,-186.2031,117.4212,-48.0834,-3.7024,-15.3633,-8.6867,6.1068,-20.97,-25.5481,-11.9416,-3.9136,0.5341,-3.8771,json_cache,,64.8,False,Shakta Tantric
Namo Amituofo,120.0,137.04,85.56,94.46,1810.55,3974.87,92.3,0.07878,0.131277,-140.7134,116.3768,5.1971,21.1203,-12.3101,0.8239,9.6767,-8.8092,-0.9485,-3.8302,-10.49,-0.6071,-11.0819,json_cache,,66.3,False,Buddhist
Om Mani Padme Hum,120.0,106.71,104.73,13.65,1167.52,2163.64,107.7,0.050704,0.035509,-348.5587,153.6095,2.6306,26.3807,9.7824,-16.9041,-5.0092,1.1506,-23.3294,-9.7743,-1.1813,-3.0054,-7.0303,json_cache,,68.4,False,Buddhist
Subhanallah Dhikr,120.0,105.67,102.93,49.7,1735.46,3696.04,112.3,0.077925,0.168652,-99.1214,118.1724,-0.3362,17.4468,-19.8369,8.7812,8.9865,-3.6444,-20.8221,14.9852,-4.9923,-3.0086,-2.7094,json_cache,,51.8,False,Islamic
Al-Fatiha Recitation,68.0,200.92,188.77,35.93,1026.66,1973.87,117.5,0.049205,0.070237,-309.2371,146.2652,-13.8362,24.4083,-8.1248,-24.2911,-0.7726,-11.9139,-24.2201,-5.5906,-8.1006,-8.47,-6.069,json_cache,,53.8,False,Islamic
Kyrie Eleison Byzantine,120.0,130.16,143.06,54.04,1046.83,2066.54,136.0,0.044027,0.097429,-248.7045,153.7106,-5.8439,41.2389,11.042,-16.6514,-8.7686,1.4372,-34.8133,-8.1969,-7.1406,-14.4352,-1.4334,json_cache,,58.7,False,Christian
Ave Maria Rosary,120.0,246.3,242.0,41.8,1517.47,3019.6,92.3,0.04855,0.220812,-247.0512,94.9685,29.4977,9.1278,4.1784,-4.5353,4.7542,-5.5082,-11.0051,-6.2469,-23.4149,1.8532,-16.6505,json_cache,,65.7,False,Christian
Shema Yisrael,120.0,130.47,129.68,66.95,1492.56,3254.89,143.6,0.045567,0.060179,-282.9617,109.9109,15.2996,30.5217,-0.7948,6.1355,1.9211,3.0703,-6.4635,4.1772,-6.3713,-3.2875,-8.5193,json_cache,,47.0,False,Jewish
Gregorian Kyrie,120.0,79.97,52.06,45.65,838.34,1464.44,136.0,0.030527,0.176086,-194.6185,161.5931,32.9505,42.33,24.0858,-1.0611,-9.623,4.4575,-16.345,6.38,-6.0027,-0.9376,-8.5531,json_cache,,60.8,False,Christian
Japji Sahib,120.0,168.3,163.39,19.1,1635.67,3006.26,198.77,0.07104,0.131938,,,,,,,,,,,,,,json_cache,"[-176.9675, 126.3334, -20.1633, 11.5035, 6.228, -14.471, -16.2021, 7.4911, -25.482, -4.2914, 1.9693, -6.2057, 4.3845]",41.4,False,Sikhism
Mool Mantar 108,120.0,185.53,185.53,0.0,938.46,1240.24,76.0,0.017164,0.247194,,,,,,,,,,,,,,json_cache,"[-314.3965, 83.756, 55.7507, 19.0335, -9.066, -20.9244, -18.0273, -9.535, -4.1626, -5.9041, -12.0016, -16.957, -16.8544]",92.2,True,Sikhism
Kirtan Asa Di Var,120.0,217.51,207.05,88.68,1452.39,2655.34,117.45,0.086018,0.130622,,,,,,,,,,,,,,json_cache,"[-194.0475, 144.1496, -57.9361, 29.4908, -8.4286, -6.9942, 3.8234, -9.2301, -12.0531, 0.8592, 3.7777, 1.9179, 1.9624]",37.6,False,Sikhism
Qawwali Ya Ali Madad,120.0,239.28,262.38,90.06,1497.33,2857.57,78.3,0.096059,0.048714,,,,,,,,,,,,,,json_cache,"[-295.0771, 114.4777, -51.7675, 29.3234, -0.9465, -18.1611, 13.9758, -19.3464, -3.8938, 8.3041, -11.1214, 0.5157, -8.5294]",35.2,False,Sufism
Zikr Allah Hu,120.0,92.85,115.54,28.87,1009.41,1869.13,107.67,0.035933,0.059136,,,,,,,,,,,,,,json_cache,"[-270.5752, 158.8282, 30.8163, 40.4632, -17.3631, -14.9618, 17.7054, 3.3478, -9.8644, 2.621, -8.3288, -2.5702, 2.648]",65.7,False,Sufism
Sufi Whirling Chant Mevlevi,120.0,220.64,220.64,0.0,989.51,1317.88,86.13,0.020218,0.248065,,,,,,,,,,,,,,json_cache,"[-314.9662, 78.584, 42.7729, 3.7693, -16.5973, -15.6853, -5.6603, -1.1828, -6.6196, -15.7522, -19.7275, -16.379, -10.8845]",58.8,True,Sufism
Gathas Ahunavaiti,120.0,120.3,120.3,0.0,837.22,1076.63,57.42,0.011694,0.246636,,,,,,,,,,,,,,json_cache,"[-317.4991, 86.6195, 75.7478, 55.0478, 31.3672, 9.1863, -7.8198, -17.9584, -20.7822, -18.1697, -12.4173, -6.2853, -1.9458]",76.2,True,Zoroastrian
Yasna Ha 28,120.0,120.3,120.3,0.0,836.97,1075.75,57.42,0.011717,0.247443,,,,,,,,,,,,,,json_cache,"[-317.2081, 86.6101, 75.8427, 55.0463, 31.2501, 9.1543, -7.895, -17.9213, -20.7681, -18.1454, -12.3785, -6.2407, -1.9865]",76.2,True,Zoroastrian
Ashem Vohu 108,120.0,120.3,120.3,0.0,837.01,1074.4,56.17,0.011708,0.246814,,,,,,,,,,,,,,json_cache,"[-317.3837, 86.6094, 75.7117, 55.0357, 31.4103, 9.1983, -7.8728, -17.9418, -20.8374, -18.2427, -12.324, -6.2111, -1.9793]",100.0,True,Zoroastrian
Jesus Prayer Hesychast,120.0,128.12,153.33,51.95,866.78,1410.09,117.45,0.024242,0.075931,,,,,,,,,,,,,,json_cache,"[-334.1455, 124.8721, 43.2609, 45.4746, 39.7462, 11.3696, 0.8888, 10.6088, -7.9406, -7.0226, -4.5973, -9.1205, -8.5294]",85.0,False,Greek Orthodox
Trisagion Byzantine,120.0,160.11,159.66,0.46,901.05,1178.76,73.83,0.015026,0.247726,,,,,,,,,,,,,,json_cache,"[-315.4935, 84.9101, 63.6203, 31.7916, 2.6879, -15.8126, -21.0754, -16.4594, -8.08, -2.1559, -1.8228, -6.3033, -12.2654]",66.7,True,Greek Orthodox
Akathist Hymn Theotokos,109.1,260.83,362.59,161.36,931.27,1482.19,103.36,0.046416,0.120179,,,,,,,,,,,,,,json_cache,"[-226.9503, 173.4246, -16.1637, 15.3912, -13.9719, -19.0662, -6.4882, -15.2963, -31.9113, -9.1507, -14.3727, -16.6562, -5.5462]",42.6,False,Greek Orthodox
Om Ma Tri Mu Ye Sa Le Du,120.0,146.1,132.72,48.5,1133.41,1992.65,73.83,0.038935,0.033509,,,,,,,,,,,,,,json_cache,"[-368.3106, 130.6962, 23.135, 25.9866, 2.4102, 6.7718, -12.2666, -1.6399, -14.5484, -12.8488, -12.7453, -7.0811, -16.4649]",80.6,False,Tibetan Bon
Bon Tantric Drum Chant,120.0,90.13,90.13,0.03,785.33,984.08,49.69,0.009372,0.246627,,,,,,,,,,,,,,json_cache,"[-323.0686, 81.3459, 77.7137, 66.605, 52.5201, 36.8378, 21.8694, 8.5305, -1.9382, -9.1091, -12.6714, -13.1594, -11.1723]",67.1,True,Tibetan Bon
Sang Offering Chant,120.0,107.25,110.32,19.85,867.58,1595.4,80.75,0.048123,0.106142,,,,,,,,,,,,,,json_cache,"[-235.6353, 202.5615, -15.1218, 25.3354, -6.1091, -14.395, 7.9939, -10.7857, -9.0623, 3.8223, 0.6672, -0.2787, -1.7177]",52.0,False,Tibetan Bon
Ngoma Healing Drum Chant,120.0,200.02,200.0,0.14,947.39,1217.98,152.0,0.018473,0.2516,,,,,,,,,,,,,,json_cache,"[-314.7147, 81.0458, 49.4382, 11.3953, -13.3604, -18.6769, -10.9229, -2.665, -1.9327, -8.2652, -15.2773, -17.114, -13.2412]",49.0,True,African Traditional
Bwiti Mvet Chant,120.0,200.02,200.0,0.14,947.66,1216.91,152.0,0.018482,0.251374,,,,,,,,,,,,,,json_cache,"[-314.8369, 81.0178, 49.4829, 11.4754, -13.2552, -18.7045, -11.0041, -2.5834, -1.8073, -8.3151, -15.3575, -17.0768, -13.1891]",56.5,True,African Traditional
San Bushman Healing Song,120.0,87.67,65.6,63.92,2509.13,6313.12,112.35,0.066888,0.137886,,,,,,,,,,,,,,json_cache,"[-201.491, 77.1368, 53.4194, 17.3368, 15.9337, 13.7151, 19.4235, 2.1266, 2.9056, 4.4937, 1.6132, -0.5551, -4.2281]",31.0,False,African Traditional
Lakota Sun Dance Song,120.0,180.25,180.25,0.0,921.39,1186.83,117.45,0.016751,0.249629,,,,,,,,,,,,,,json_cache,"[-313.7313, 85.1431, 58.7394, 23.4226, -4.6316, -17.718, -16.5764, -8.9689, -3.6829, -5.0718, -11.5059, -17.8976, -19.2704]",55.5,True,Native American
Navajo Night Chant Yeibichai,120.0,160.11,159.66,0.46,901.03,1180.25,73.83,0.015032,0.247555,,,,,,,,,,,,,,json_cache,"[-315.5476, 84.8525, 63.5398, 31.9024, 2.8466, -15.835, -21.2527, -16.5145, -8.0104, -2.107, -1.7892, -6.3102, -12.373]",62.6,True,Native American
Inuit Throat Singing Katajjaq,120.0,180.25,180.25,0.0,921.78,1189.48,117.45,0.016723,0.249683,,,,,,,,,,,,,,json_cache,"[-313.6959, 85.0898, 58.7209, 23.37, -4.6469, -17.707, -16.5533, -8.9915, -3.7256, -5.1889, -11.5797, -17.843, -19.3602]",50.0,True,Native American
Taoist Morning Liturgy Huangjing,120.0,139.96,139.8,0.33,881.19,1164.11,63.02,0.013387,0.24724,,,,,,,,,,,,,,json_cache,"[-325.2253, 74.0469, 59.768, 35.5544, 10.7988, -8.76, -19.5085, -21.2296, -16.4446, -9.1656, -3.5857, -1.9234, -4.4953]",73.7,True,Taoist
Taoist Fu Breathing Meditation,31.0,60.91,50.0,22.77,2888.78,6400.91,117.45,0.128053,0.067488,,,,,,,,,,,,,,json_cache,"[-229.9989, 61.5257, 43.3458, 37.4628, 20.4856, 10.6732, -0.5135, 12.9772, 1.2844, 4.3356, 0.1661, 2.7288, -10.547]",57.6,False,Taoist
Taoist Incense Offering Chant,120.0,160.11,159.66,0.46,900.71,1180.27,73.83,0.015056,0.247734,,,,,,,,,,,,,,json_cache,"[-315.5882, 84.8807, 63.6205, 31.827, 2.8161, -15.7797, -21.2326, -16.519, -8.0692, -2.1164, -1.7108, -6.3418, -12.4181]",62.5,True,Taoist
